filmtv_id;directors;genre;year;nb_comedy_real;nb_drama_real
1557;Alfio Caltabiano;1;1969;0;0
1561;Mario MattÃ²li;0;1961;47;8
1565;Gianni Amico;1;1976;0;2
1568;Pasquale Festa Campanile;0;1967;3;2
1569;Giuliana Gamba;1;1989;0;0
1571;Dino Risi;1;1988;43;6
1572;Vittorio De Sica;1;1960;5;5
1573;Fernand Rivers;1;1945;0;0
1574;Charles Chaplin;1;1928;5;1
1586;Mario Bonnard;1;1948;7;2
1589;Alvin Rakoff;1;1979;1;0
1593;William Dieterle;1;1950;2;3
1597;George A. Romero;1;1973;0;1
1600;Roger Corman;1;1970;2;3
1601;Giuseppe Orlandini;0;1971;3;1
1602;Ralph Habib;1;1957;1;0
1602;Lee Robinson;1;1957;0;0
1603;Jeffrey Hayden;1;1957;0;0
1608;Elio Petri;1;1972;1;5
1610;Ryszard Bugajski;1;1991;0;0
1611;Joseph L. Mankiewicz;1;1963;4;7
1615;Harold Ramis;0;1986;2;0
1621;Dusan Makavejev;0;1985;0;1
1622;Harold Becker;1;1988;1;2
1624;Roger Donaldson;0;1988;0;1
1625;Daniel Petrie;0;1989;1;4
1635;Howard Hawks;1;1931;0;0
1637;Louis Malle;1;1973;3;5
1638;Fernando Cerchio;1;1962;2;0
1639;Blake Edwards;0;1961;4;1
1641;Nina Companeez;0;1973;0;0
1643;Castellano & Pipolo;0;1984;11;0
1647;Mino Guerrini;0;1974;6;0
1649;Martin Scorsese;1;1986;1;5
1653;Steven Spielberg;1;1985;1;1
1654;Dennis Hopper;1;1988;0;3
1655;Mark Robson;1;1956;0;8
1665;Basil Dearden;0;1959;1;0
1666;Menahem Golan;0;1976;0;0
1667;Marco Risi;0;1985;2;0
1670;Renato Castellani;1;1942;0;0
1671;Bob Clark;0;1987;5;1
1672;Mino Guerrini;0;1968;2;0
1678;Ken Annakin;0;1967;2;1
1681;David Anspaugh;0;1987;0;0
1684;Roman Polanski;1;1962;0;0
1686;Moshe Mizrahi;1;1986;0;1
1688;Flavio Mogherini;0;1987;8;0
1696;John Ford;1;1941;0;10
1697;Sydney Pollack;1;1973;0;3
1698;Jan Egleson;0;1990;0;0
1702;Luciano Salce;0;1966;9;0
1703;Lucio Fulci;0;1964;6;0
1704;Mario Camerini;1;1934;2;2
1707;Carlo Borghesio;0;1945;2;0
1709;Lucio Fulci;0;1966;12;0
1712;William Wyler;0;1966;0;14
1714;Philippe De Broca;0;1973;4;1
1719;Jean Negulesco;0;1953;0;6
1721;Vincente Minnelli;0;1958;7;3
1723;Michael Ritchie;0;1983;3;2
1724;Neri Parenti;0;1991;17;0
1725;Neri Parenti;0;1990;15;0
1727;Elliot Silverstein;0;1968;0;0
1733;Bernardo Bertolucci;1;1962;0;0
1735;Arthur Hiller;0;1983;10;2
1736;Woody Allen;0;1982;8;1
1739;Aleksandr Askoldov;1;1967;0;0
1740;Guido Leoni;0;1973;2;0
1741;Luigi Comencini;0;1962;11;2
1743;Dino Risi;0;1986;41;6
1745;Ettore Scola;0;1969;5;0
1746;Savage Steve Holland;0;1989;1;0
1747;Eddie Cline;0;1940;1;0
1748;Mario Monicelli;1;1963;16;2
1749;Carlo Verdone;0;1988;6;0
1751;Corrado D'Errico;0;1941;3;0
1752;George Marshall;0;1932;0;0
1752;Ray McCarey;0;1932;0;0
1753;Luigi Comencini;0;1965;14;3
1754;John Hughes;0;1984;0;0
1755;Dino Risi;0;1965;19;1
1755;Luigi Filippo D'Amico;0;1965;3;0
1755;Franco Rossi;0;1965;4;2
1760;Robert Butler;0;1970;0;0
1764;Christian Duguay;1;1993;0;1
1767;Bille August;1;1992;0;1
1768;Pasquale Festa Campanile;0;1970;6;2
1777;Felice Farina;0;1991;0;0
1781;Costa-Gavras;1;1970;0;1
1786;Jacques Baratier;0;1963;0;0
1788;Michael Apted;1;1990;2;1
1790;Bernardo Bertolucci;1;1970;0;4
1804;Michael Gordon;0;1951;0;2
1807;John Mackenzie;1;1983;0;1
1808;Irving Pichel;1;1945;0;1
1809;John G. Avildsen;1;1989;4;4
1816;Christian De Sica;0;1991;0;0
1817;Sergio Corbucci;0;1982;20;2
1818;Riccardo Freda;1;1949;0;2
1822;Georges Combret;1;1954;0;0
1824;Luigi Zampa;0;1969;18;5
1835;Bruno Corbucci;0;1981;26;0
1840;Jerry Lewis;0;1969;8;0
1841;Jerry Schatzberg;1;1988;4;4
1847;Prayag Raj;1;1983;0;0
1847;Manmohan Desai;1;1983;0;0
1850;Domenico Paolella;0;1955;2;0
